age,gender,location_type,region,candidate,use_viber,education,income,early_voting
31-40,Мужской,Город,Минская,,False,Профессионально-техническое,Не хочу отвечать на этот вопрос,Нет
18-30,Женский,Город,Гомельская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Затрудняюсь ответить
51-60,Женский,Город,Гомельская,,False,Среднее специальное,До 500 бел. руб.,Нет
41-50,Женский,Город,Гомельская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
41-50,Мужской,Город,Гомельская,,False,Среднее специальное,1000 - 2000 бел. руб.,Нет
18-30,Женский,Город,Гомельская,Тихановская,True,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
старше 60,Женский,Город,Гомельская,Тихановская,False,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,Лукашенко,True,Профессионально-техническое,500 - 1000 бел. руб.,Нет
41-50,Женский,Город,Гомельская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
41-50,Женский,Город,Гомельская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
31-40,Мужской,Город,Гомельская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
18-30,Женский,Город,Гомельская,Тихановская,True,Высшее,До 500 бел. руб.,Нет
41-50,Мужской,Село,Брестская,Тихановская,True,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Да
51-60,Женский,Город,Гомельская,,True,Среднее специальное,До 500 бел. руб.,Да
18-30,Женский,Город,Гомельская,Тихановская,False,Высшее,До 500 бел. руб.,Нет
51-60,Женский,Город,Гомельская,,False,Высшее,До 500 бел. руб.,Нет
31-40,Женский,Город,Гомельская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,,False,Среднее специальное,До 500 бел. руб.,Нет
31-40,Мужской,Город,Гомельская,Тихановская,False,Профессионально-техническое,500 - 1000 бел. руб.,Нет
41-50,Мужской,Город,Гомельская,Лукашенко,False,Высшее,Выше 2000 бел.руб.,Нет
старше 60,Женский,Город,Гомельская,,False,Высшее,До 500 бел. руб.,Затрудняюсь ответить
18-30,Мужской,Город,Гомельская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
18-30,Мужской,Город,Гомельская,Тихановская,False,Среднее специальное,1000 - 2000 бел. руб.,Нет
18-30,Мужской,Город,Гомельская,Лукашенко,False,Высшее,Не хочу отвечать на этот вопрос,Да
18-30,Мужской,Город,Гомельская,Тихановская,False,Среднее специальное,1000 - 2000 бел. руб.,Нет
18-30,Мужской,Город,Гомельская,,False,Высшее,Не хочу отвечать на этот вопрос,Затрудняюсь ответить
41-50,Мужской,Город,Гомельская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
18-30,Мужской,Город,Гомельская,Тихановская,True,Среднее специальное,До 500 бел. руб.,Затрудняюсь ответить
18-30,Мужской,Город,Гомельская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
18-30,Женский,Город,Гомельская,Тихановская,False,Высшее,1000 - 2000 бел. руб.,Нет
51-60,Мужской,Город,Могилевская,Лукашенко,False,Среднее специальное,500 - 1000 бел. руб.,Да
18-30,Женский,Город,Гомельская,,False,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
18-30,Мужской,Город,Витебская,Тихановская,False,Среднее специальное,1000 - 2000 бел. руб.,Нет
18-30,Женский,Город,Витебская,,True,Высшее,500 - 1000 бел. руб.,Нет
18-30,Мужской,Город,Витебская,,True,Высшее,1000 - 2000 бел. руб.,Нет
51-60,Женский,Город,Витебская,Тихановская,True,Профессионально-техническое,1000 - 2000 бел. руб.,Нет
старше 60,Женский,Город,Витебская,Тихановская,False,Высшее,До 500 бел. руб.,Нет
18-30,Мужской,Город,Гомельская,Тихановская,False,Среднее специальное,1000 - 2000 бел. руб.,Нет
18-30,Мужской,Город,Брестская,,True,Высшее,1000 - 2000 бел. руб.,Нет
18-30,Женский,Город,Гомельская,Тихановская,False,Высшее,1000 - 2000 бел. руб.,Нет
18-30,Женский,Город,Гомельская,,False,Высшее,Не хочу отвечать на этот вопрос,Нет
18-30,Мужской,Город,Брестская,Тихановская,True,Высшее,До 500 бел. руб.,Нет
41-50,Мужской,Город,Гомельская,Тихановская,False,Высшее,500 - 1000 бел. руб.,Нет
31-40,Мужской,Город,Минск,Тихановская,True,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
31-40,Женский,Город,Минская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
51-60,Мужской,Город,Витебская,Тихановская,True,Базовое / Среднее общее (школа),Не хочу отвечать на этот вопрос,Нет
31-40,Женский,Город,Минская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
41-50,Мужской,Город,Гомельская,Тихановская,False,Высшее,500 - 1000 бел. руб.,Нет
41-50,Мужской,Город,Гомельская,Против всех,False,Высшее,Выше 2000 бел.руб.,Нет
41-50,Женский,Город,Гомельская,Тихановская,False,Среднее специальное,1000 - 2000 бел. руб.,Затрудняюсь ответить
31-40,Мужской,Город,Гомельская,,False,Среднее специальное,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Минская,,False,Профессионально-техническое,До 500 бел. руб.,Нет
31-40,Мужской,Город,Гомельская,Против всех,False,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
31-40,Мужской,Город,Гомельская,,False,Среднее специальное,1000 - 2000 бел. руб.,Да
31-40,Женский,Город,Гомельская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Затрудняюсь ответить
старше 60,Женский,Город,Минская,,False,Профессионально-техническое,До 500 бел. руб.,Нет
31-40,Женский,Город,Гомельская,,False,Высшее,До 500 бел. руб.,Нет
31-40,Мужской,Город,Могилевская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Да
31-40,Мужской,Город,Гомельская,Тихановская,False,Высшее,Выше 2000 бел.руб.,Нет
31-40,Мужской,Город,Гомельская,Против всех,False,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
31-40,Мужской,Город,Гомельская,Тихановская,False,Высшее,1000 - 2000 бел. руб.,Нет
18-30,Мужской,Город,Могилевская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Затрудняюсь ответить
51-60,Мужской,Город,Минская,,False,Другое,Не хочу отвечать на этот вопрос,Нет
31-40,Мужской,Город,Гомельская,Тихановская,False,Высшее,Выше 2000 бел.руб.,Нет
31-40,Мужской,Город,Могилевская,Против всех,False,Высшее,500 - 1000 бел. руб.,Да
18-30,Женский,Город,Минская,Тихановская,True,Другое,Не хочу отвечать на этот вопрос,Нет
старше 60,Мужской,Город,Могилевская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
51-60,Женский,Город,Могилевская,,False,Профессионально-техническое,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Могилевская,Тихановская,False,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Могилевская,Лукашенко,False,Среднее специальное,500 - 1000 бел. руб.,Да
51-60,Мужской,Город,Могилевская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
41-50,Мужской,Город,Могилевская,,False,Профессионально-техническое,500 - 1000 бел. руб.,Затрудняюсь ответить
51-60,Женский,Город,Гомельская,,False,Среднее специальное,500 - 1000 бел. руб.,Нет
51-60,Мужской,Город,Гомельская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
51-60,Мужской,Город,Гомельская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Да
51-60,Мужской,Город,Гомельская,,True,Высшее,1000 - 2000 бел. руб.,Нет
51-60,Женский,Город,Гомельская,Тихановская,False,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
51-60,Женский,Город,Гомельская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Затрудняюсь ответить
51-60,Мужской,Город,Гомельская,,False,Среднее специальное,1000 - 2000 бел. руб.,Да
51-60,Мужской,Город,Гомельская,Тихановская,False,Базовое / Среднее общее (школа),Не хочу отвечать на этот вопрос,Нет
51-60,Мужской,Город,Гомельская,,False,Среднее специальное,500 - 1000 бел. руб.,Нет
51-60,Женский,Город,Гомельская,Тихановская,True,Среднее специальное,До 500 бел. руб.,Нет
51-60,Женский,Город,Гомельская,,True,Среднее специальное,До 500 бел. руб.,Затрудняюсь ответить
старше 60,Женский,Город,Гомельская,Тихановская,False,Профессионально-техническое,До 500 бел. руб.,Нет
51-60,Женский,Город,Гомельская,Тихановская,False,Высшее,1000 - 2000 бел. руб.,Нет
51-60,Женский,Село,Брестская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Витебская,Тихановская,True,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
31-40,Мужской,Село,Минская,Тихановская,True,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
старше 60,Мужской,Город,Минская,Тихановская,False,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Мужской,Город,Минская,Тихановская,False,Высшее,500 - 1000 бел. руб.,Нет
18-30,Женский,Город,Могилевская,,False,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,Тихановская,False,Высшее,500 - 1000 бел. руб.,Нет
18-30,Мужской,Город,Брестская,Тихановская,False,Среднее специальное,1000 - 2000 бел. руб.,Нет
41-50,Женский,Город,Могилевская,,False,Среднее специальное,До 500 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,Тихановская,False,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Мужской,Город,Гомельская,,False,Базовое / Среднее общее (школа),Не хочу отвечать на этот вопрос,Нет
51-60,Женский,Город,Минская,Лукашенко,False,Высшее,До 500 бел. руб.,Нет
старше 60,Мужской,Село,Гомельская,,False,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Мужской,Город,Гомельская,,False,Высшее,До 500 бел. руб.,Да
старше 60,Мужской,Город,Гомельская,,False,Среднее специальное,500 - 1000 бел. руб.,Нет
старше 60,Мужской,Город,Гомельская,,False,Высшее,1000 - 2000 бел. руб.,Нет
51-60,Мужской,Город,Витебская,Лукашенко,False,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,,False,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,Дмитриев,False,Среднее специальное,До 500 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,,False,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,Против всех,False,Среднее специальное,До 500 бел. руб.,Нет
старше 60,Мужской,Город,Гомельская,Против всех,False,Среднее специальное,До 500 бел. руб.,Нет
старше 60,Мужской,Город,Витебская,,False,Профессионально-техническое,Не хочу отвечать на этот вопрос,Нет
старше 60,Мужской,Город,Гомельская,Тихановская,False,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
старше 60,Мужской,Город,Гомельская,Тихановская,False,Среднее специальное,До 500 бел. руб.,Нет
старше 60,Мужской,Город,Гомельская,Тихановская,False,Высшее,Выше 2000 бел.руб.,Нет
31-40,Мужской,Город,Минская,Тихановская,True,Среднее специальное,1000 - 2000 бел. руб.,Нет
18-30,Женский,Город,Витебская,,True,Профессионально-техническое,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,,False,Среднее специальное,Выше 2000 бел.руб.,Нет
41-50,Мужской,Город,Гомельская,Лукашенко,False,Среднее специальное,До 500 бел. руб.,Нет
41-50,Женский,Город,Витебская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
18-30,Мужской,Город,Минская,Тихановская,False,Базовое / Среднее общее (школа),1000 - 2000 бел. руб.,Нет
41-50,Женский,Город,Гомельская,Лукашенко,True,Базовое / Среднее общее (школа),Не хочу отвечать на этот вопрос,Нет
41-50,Мужской,Город,Витебская,Тихановская,False,Профессионально-техническое,1000 - 2000 бел. руб.,Нет
41-50,Мужской,Город,Гомельская,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Затрудняюсь ответить
18-30,Женский,Город,Гомельская,Против всех,True,Высшее,Не хочу отвечать на этот вопрос,Нет
51-60,Женский,Город,Гомельская,Тихановская,False,Высшее,500 - 1000 бел. руб.,Нет
41-50,Мужской,Город,Гомельская,Против всех,True,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
31-40,Мужской,Город,Минская,Против всех,True,Высшее,Выше 2000 бел.руб.,Нет
старше 60,Женский,Город,Гомельская,,False,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
31-40,Женский,Город,Минск,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
31-40,Женский,Город,Минск,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
18-30,Мужской,Город,Гомельская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
41-50,Мужской,Город,Минская,Тихановская,True,Базовое / Среднее общее (школа),Выше 2000 бел.руб.,Нет
старше 60,Женский,Город,Минская,Лукашенко,False,Среднее специальное,До 500 бел. руб.,Да
41-50,Мужской,Город,Минская,Тихановская,True,Профессионально-техническое,1000 - 2000 бел. руб.,Нет
51-60,Мужской,Город,Минская,Тихановская,True,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
41-50,Женский,Город,Минская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
