age,gender,location_type,region,candidate,use_viber,education,income,early_voting
41-50,Женский,Город,Гомельская,Тихановская,False,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
41-50,Женский,Город,Гомельская,,True,Среднее специальное,До 500 бел. руб.,Нет
41-50,Мужской,Город,Гомельская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,Лукашенко,True,Среднее специальное,До 500 бел. руб.,Нет
51-60,Мужской,Город,Гомельская,Тихановская,False,Профессионально-техническое,500 - 1000 бел. руб.,Нет
51-60,Женский,Город,Гомельская,,False,Высшее,До 500 бел. руб.,Нет
41-50,Мужской,Город,Брестская,Тихановская,True,Профессионально-техническое,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,,True,Высшее,До 500 бел. руб.,Нет
51-60,Женский,Город,Минск,Тихановская,False,Среднее специальное,До 500 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,,False,Базовое / Среднее общее (школа),До 500 бел. руб.,Да
31-40,Женский,Город,Брестская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
41-50,Мужской,Город,Минская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
старше 60,Мужской,Город,Минская,Лукашенко,False,Высшее,500 - 1000 бел. руб.,Нет
51-60,Женский,Город,Гомельская,Лукашенко,False,Среднее специальное,Не хочу отвечать на этот вопрос,Да
старше 60,Женский,Город,Гомельская,Лукашенко,False,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Минская,Лукашенко,True,Высшее,500 - 1000 бел. руб.,Нет
51-60,Женский,Город,Минская,Тихановская,True,Высшее,До 500 бел. руб.,Нет
41-50,Женский,Город,Минская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
18-30,Мужской,Город,Минская,,True,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
31-40,Мужской,Город,Брестская,,False,Высшее,500 - 1000 бел. руб.,Нет
41-50,Женский,Село,Брестская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Мужской,Город,Минская,Тихановская,False,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Минская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Минская,,True,Среднее специальное,500 - 1000 бел. руб.,Нет
18-30,Мужской,Город,Брестская,Черечень,False,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
41-50,Мужской,Город,Минская,Против всех,True,Высшее,Выше 2000 бел.руб.,Нет
31-40,Женский,Город,Минская,Тихановская,True,Высшее,Выше 2000 бел.руб.,Нет
31-40,Мужской,Город,Минская,Тихановская,True,Среднее специальное,Выше 2000 бел.руб.,Нет
41-50,Женский,Город,Минская,Тихановская,True,Высшее,Выше 2000 бел.руб.,Затрудняюсь ответить
18-30,Мужской,Город,Минская,Тихановская,True,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
18-30,Мужской,Город,Минская,Тихановская,True,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
31-40,Мужской,Город,Брестская,,True,Высшее,500 - 1000 бел. руб.,Нет
31-40,Мужской,Город,Брестская,Тихановская,False,Среднее специальное,1000 - 2000 бел. руб.,Нет
51-60,Мужской,Город,Минск,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
старше 60,Женский,Город,Минск,,False,Среднее специальное,До 500 бел. руб.,Нет
старше 60,Мужской,Город,Минск,Тихановская,False,Высшее,1000 - 2000 бел. руб.,Нет
старше 60,Женский,Город,Минск,Тихановская,False,Среднее специальное,До 500 бел. руб.,Нет
старше 60,Женский,Город,Минск,Против всех,False,Профессионально-техническое,До 500 бел. руб.,Затрудняюсь ответить
старше 60,Мужской,Город,Минск,,False,Профессионально-техническое,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Минск,Лукашенко,False,Профессионально-техническое,До 500 бел. руб.,Нет
старше 60,Мужской,Город,Минск,,False,Высшее,До 500 бел. руб.,Нет
старше 60,Женский,Город,Минск,Тихановская,False,Высшее,500 - 1000 бел. руб.,Нет
41-50,Женский,Город,Минск,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
31-40,Мужской,Город,Минск,Тихановская,False,Высшее,1000 - 2000 бел. руб.,Нет
31-40,Мужской,Город,Минск,Тихановская,False,Высшее,1000 - 2000 бел. руб.,Нет
18-30,Мужской,Город,Минск,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
41-50,Женский,Город,Минск,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
51-60,Женский,Город,Минск,Против всех,True,Высшее,500 - 1000 бел. руб.,Нет
31-40,Мужской,Город,Минск,Против всех,False,Профессионально-техническое,1000 - 2000 бел. руб.,Нет
51-60,Мужской,Город,Минск,Тихановская,True,Высшее,Выше 2000 бел.руб.,Нет
18-30,Мужской,Город,Минская,Тихановская,True,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
18-30,Мужской,Город,Минская,Тихановская,True,Среднее специальное,1000 - 2000 бел. руб.,Нет
18-30,Мужской,Город,Минская,,True,Среднее специальное,Выше 2000 бел.руб.,Нет
31-40,Мужской,Город,Минская,,True,Высшее,1000 - 2000 бел. руб.,Да
41-50,Мужской,Город,Минская,,True,Высшее,1000 - 2000 бел. руб.,Да
51-60,Женский,Город,Минская,,True,Высшее,Не хочу отвечать на этот вопрос,Затрудняюсь ответить
18-30,Женский,Город,Витебская,Тихановская,True,Профессионально-техническое,500 - 1000 бел. руб.,Нет
31-40,Женский,Город,Витебская,Тихановская,True,Профессионально-техническое,1000 - 2000 бел. руб.,Нет
31-40,Женский,Город,Витебская,,True,Профессионально-техническое,Не хочу отвечать на этот вопрос,Нет
31-40,Женский,Город,Минск,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
41-50,Женский,Город,Витебская,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
31-40,Женский,Город,Витебская,Тихановская,True,Профессионально-техническое,Не хочу отвечать на этот вопрос,Нет
18-30,Мужской,Город,Витебская,,True,Высшее,Не хочу отвечать на этот вопрос,Нет
41-50,Мужской,Город,Витебская,,True,Профессионально-техническое,Не хочу отвечать на этот вопрос,Нет
41-50,Мужской,Город,Витебская,,True,Высшее,Не хочу отвечать на этот вопрос,Нет
старше 60,Женский,Город,Витебская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,Лукашенко,False,Профессионально-техническое,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,Тихановская,False,Среднее специальное,До 500 бел. руб.,Нет
старше 60,Мужской,Город,Гомельская,Лукашенко,False,Профессионально-техническое,500 - 1000 бел. руб.,Да
31-40,Мужской,Город,Гомельская,,False,Высшее,500 - 1000 бел. руб.,Затрудняюсь ответить
31-40,Женский,Город,Гомельская,Тихановская,False,Высшее,500 - 1000 бел. руб.,Нет
51-60,Женский,Город,Гомельская,,False,Профессионально-техническое,500 - 1000 бел. руб.,Да
41-50,Мужской,Город,Гомельская,Тихановская,False,Среднее специальное,До 500 бел. руб.,Нет
41-50,Женский,Город,Гомельская,,False,Среднее специальное,До 500 бел. руб.,Да
51-60,Женский,Город,Могилевская,,False,Высшее,500 - 1000 бел. руб.,Да
51-60,Женский,Город,Могилевская,,False,Высшее,500 - 1000 бел. руб.,Да
старше 60,Женский,Город,Гомельская,Лукашенко,False,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Витебская,,True,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Мужской,Город,Гомельская,Лукашенко,False,Среднее специальное,500 - 1000 бел. руб.,Нет
18-30,Женский,Город,Витебская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Да
старше 60,Мужской,Город,Витебская,Против всех,False,Базовое / Среднее общее (школа),До 500 бел. руб.,Да
31-40,Женский,Город,Гомельская,Тихановская,False,Высшее,Не хочу отвечать на этот вопрос,Нет
старше 60,Женский,Город,Гомельская,Тихановская,True,Высшее,До 500 бел. руб.,Нет
31-40,Женский,Город,Гомельская,Черечень,False,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
старше 60,Женский,Город,Гомельская,Лукашенко,True,Высшее,До 500 бел. руб.,Затрудняюсь ответить
старше 60,Женский,Город,Витебская,,False,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Да
старше 60,Мужской,Город,Витебская,Лукашенко,True,Среднее специальное,1000 - 2000 бел. руб.,Да
51-60,Мужской,Село,Гомельская,Тихановская,True,Профессионально-техническое,500 - 1000 бел. руб.,Нет
31-40,Мужской,Город,Гомельская,Тихановская,True,Высшее,Выше 2000 бел.руб.,Нет
51-60,Женский,Город,Брестская,Лукашенко,False,Профессионально-техническое,1000 - 2000 бел. руб.,Нет
31-40,Женский,Город,Гомельская,Тихановская,True,Высшее,Выше 2000 бел.руб.,Нет
41-50,Женский,Село,Гомельская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
18-30,Мужской,Город,Минская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
51-60,Мужской,Город,Гомельская,Против всех,True,Профессионально-техническое,1000 - 2000 бел. руб.,Да
41-50,Женский,Город,Минская,,True,Высшее,1000 - 2000 бел. руб.,Да
51-60,Женский,Город,Минская,,True,Высшее,500 - 1000 бел. руб.,Затрудняюсь ответить
51-60,Женский,Город,Гомельская,Против всех,True,Среднее специальное,1000 - 2000 бел. руб.,Да
51-60,Женский,Город,Минская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Затрудняюсь ответить
31-40,Женский,Город,Минская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
31-40,Мужской,Город,Гомельская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
18-30,Женский,Город,Гродненская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
18-30,Женский,Город,Гомельская,,True,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
18-30,Мужской,Город,Гродненская,Тихановская,False,Высшее,Выше 2000 бел.руб.,Нет
18-30,Мужской,Город,Гродненская,Тихановская,True,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
18-30,Мужской,Город,Гродненская,Тихановская,True,Высшее,Выше 2000 бел.руб.,Нет
51-60,Мужской,Город,Гродненская,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
51-60,Мужской,Город,Гродненская,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
старше 60,Мужской,Город,Гомельская,Тихановская,True,Профессионально-техническое,500 - 1000 бел. руб.,Нет
18-30,Мужской,Город,Гомельская,Тихановская,True,Среднее специальное,1000 - 2000 бел. руб.,Да
18-30,Мужской,Город,Гродненская,Тихановская,True,Базовое / Среднее общее (школа),1000 - 2000 бел. руб.,Нет
31-40,Мужской,Город,Гродненская,Лукашенко,False,Высшее,Не хочу отвечать на этот вопрос,Нет
41-50,Мужской,Город,Брестская,Лукашенко,False,Базовое / Среднее общее (школа),1000 - 2000 бел. руб.,Да
31-40,Мужской,Город,Брестская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
41-50,Мужской,Город,Брестская,,True,Профессионально-техническое,1000 - 2000 бел. руб.,Нет
31-40,Женский,Город,Брестская,,True,Базовое / Среднее общее (школа),Не хочу отвечать на этот вопрос,Нет
18-30,Женский,Город,Брестская,,True,Высшее,500 - 1000 бел. руб.,Нет
51-60,Мужской,Город,Гродненская,Тихановская,True,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
18-30,Мужской,Село,Гомельская,Тихановская,True,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
31-40,Женский,Город,Брестская,,True,Среднее специальное,500 - 1000 бел. руб.,Затрудняюсь ответить
старше 60,Женский,Город,Брестская,Лукашенко,False,Профессионально-техническое,До 500 бел. руб.,Нет
41-50,Женский,Село,Гомельская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
41-50,Женский,Село,Гомельская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Гродненская,,False,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
31-40,Женский,Город,Гродненская,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
51-60,Мужской,Город,Гродненская,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
41-50,Женский,Город,Гомельская,,False,Среднее специальное,До 500 бел. руб.,Да
старше 60,Женский,Село,Гомельская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
18-30,Женский,Село,Гомельская,,True,Среднее специальное,500 - 1000 бел. руб.,Нет
31-40,Женский,Город,Гродненская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
31-40,Женский,Город,Гродненская,Тихановская,True,Высшее,Выше 2000 бел.руб.,Нет
18-30,Женский,Село,Гомельская,,True,Среднее специальное,500 - 1000 бел. руб.,Нет
18-30,Женский,Село,Гомельская,,True,Среднее специальное,500 - 1000 бел. руб.,Нет
18-30,Женский,Село,Гомельская,,True,Среднее специальное,До 500 бел. руб.,Нет
старше 60,Мужской,Село,Гомельская,Тихановская,True,Профессионально-техническое,1000 - 2000 бел. руб.,Затрудняюсь ответить
51-60,Мужской,Село,Гомельская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Гродненская,,True,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
старше 60,Женский,Село,Гомельская,Лукашенко,False,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Затрудняюсь ответить
старше 60,Женский,Село,Гомельская,Тихановская,True,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
51-60,Мужской,Город,Гродненская,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
старше 60,Женский,Село,Гомельская,Тихановская,False,Профессионально-техническое,500 - 1000 бел. руб.,Нет
старше 60,Мужской,Город,Гродненская,,False,Высшее,Не хочу отвечать на этот вопрос,Затрудняюсь ответить
51-60,Мужской,Город,Могилевская,Против всех,False,Высшее,Выше 2000 бел.руб.,Нет
31-40,Женский,Город,Гродненская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
18-30,Женский,Город,Гродненская,,True,Среднее специальное,1000 - 2000 бел. руб.,Нет
51-60,Мужской,Село,Витебская,Тихановская,False,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Да
31-40,Мужской,Село,Гомельская,Тихановская,False,Профессионально-техническое,1000 - 2000 бел. руб.,Нет
41-50,Мужской,Село,Гомельская,Тихановская,False,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
51-60,Мужской,Село,Витебская,,False,Среднее специальное,1000 - 2000 бел. руб.,Да
51-60,Мужской,Село,Витебская,Тихановская,False,Среднее специальное,До 500 бел. руб.,Да
старше 60,Мужской,Город,Гродненская,,False,Высшее,Не хочу отвечать на этот вопрос,Нет
18-30,Женский,Село,Витебская,,True,Среднее специальное,До 500 бел. руб.,Да
18-30,Мужской,Город,Минская,Тихановская,True,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Минск,Тихановская,False,Высшее,1000 - 2000 бел. руб.,Нет
старше 60,Женский,Город,Минск,,False,Высшее,1000 - 2000 бел. руб.,Нет
старше 60,Женский,Город,Минск,Против всех,False,Другое,До 500 бел. руб.,Нет
41-50,Женский,Город,Минская,Тихановская,True,Профессионально-техническое,Не хочу отвечать на этот вопрос,Нет
18-30,Женский,Село,Витебская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
41-50,Женский,Село,Витебская,Тихановская,True,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
41-50,Мужской,Село,Витебская,Тихановская,True,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
31-40,Мужской,Село,Витебская,Тихановская,True,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
31-40,Мужской,Город,Минская,,False,Другое,Не хочу отвечать на этот вопрос,Нет
51-60,Мужской,Село,Витебская,Тихановская,False,Среднее специальное,До 500 бел. руб.,Нет
18-30,Женский,Село,Витебская,,True,Высшее,До 500 бел. руб.,Нет
51-60,Женский,Село,Витебская,Тихановская,True,Среднее специальное,До 500 бел. руб.,Нет
31-40,Женский,Село,Витебская,Лукашенко,False,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
51-60,Мужской,Город,Минская,Против всех,False,Другое,Не хочу отвечать на этот вопрос,Нет
18-30,Мужской,Город,Гродненская,Тихановская,True,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
51-60,Женский,Город,Минск,Лукашенко,False,Высшее,500 - 1000 бел. руб.,Да
51-60,Мужской,Город,Минск,Тихановская,False,Высшее,1000 - 2000 бел. руб.,Нет
41-50,Мужской,Город,Гродненская,Против всех,True,Высшее,Не хочу отвечать на этот вопрос,Нет
41-50,Женский,Город,Минская,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
41-50,Мужской,Город,Гродненская,Тихановская,False,Высшее,Не хочу отвечать на этот вопрос,Нет
51-60,Женский,Город,Брестская,,True,Высшее,500 - 1000 бел. руб.,Нет
41-50,Мужской,Город,Гомельская,,True,Высшее,Выше 2000 бел.руб.,Да
18-30,Женский,Город,Витебская,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
41-50,Мужской,Город,Минск,,False,Высшее,Не хочу отвечать на этот вопрос,Нет
51-60,Мужской,Город,Гомельская,Лукашенко,True,Высшее,Выше 2000 бел.руб.,Да
41-50,Женский,Город,Гомельская,Против всех,True,Высшее,Выше 2000 бел.руб.,Да
18-30,Мужской,Город,Гомельская,Против всех,True,Высшее,Выше 2000 бел.руб.,Нет
18-30,Женский,Город,Минская,Тихановская,True,Другое,Не хочу отвечать на этот вопрос,Нет
старше 60,Женский,Город,Гродненская,Тихановская,False,Базовое / Среднее общее (школа),Не хочу отвечать на этот вопрос,Нет
18-30,Женский,Город,Гомельская,,True,Базовое / Среднее общее (школа),Не хочу отвечать на этот вопрос,Нет
старше 60,Мужской,Город,Минск,Лукашенко,False,Высшее,500 - 1000 бел. руб.,Нет
51-60,Мужской,Село,Гомельская,Лукашенко,False,Профессионально-техническое,1000 - 2000 бел. руб.,Нет
41-50,Женский,Город,Гомельская,,False,Среднее специальное,До 500 бел. руб.,Да
41-50,Женский,Город,Гомельская,Лукашенко,True,Среднее специальное,1000 - 2000 бел. руб.,Да
старше 60,Женский,Город,Гродненская,,False,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
51-60,Мужской,Город,Гродненская,Тихановская,False,Профессионально-техническое,Не хочу отвечать на этот вопрос,Нет
старше 60,Мужской,Город,Гродненская,Лукашенко,False,Профессионально-техническое,Не хочу отвечать на этот вопрос,Нет
старше 60,Мужской,Город,Брестская,Тихановская,False,Высшее,500 - 1000 бел. руб.,Нет
18-30,Мужской,Город,Гродненская,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
старше 60,Женский,Город,Могилевская,Лукашенко,False,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
51-60,Женский,Город,Могилевская,Тихановская,False,Высшее,Не хочу отвечать на этот вопрос,Нет
31-40,Женский,Город,Гродненская,Тихановская,True,Высшее,Выше 2000 бел.руб.,Нет
51-60,Мужской,Город,Могилевская,Против всех,True,Высшее,До 500 бел. руб.,Нет
41-50,Женский,Город,Гродненская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
31-40,Женский,Город,Могилевская,,False,Высшее,Не хочу отвечать на этот вопрос,Нет
старше 60,Мужской,Город,Брестская,,False,Среднее специальное,500 - 1000 бел. руб.,Нет
41-50,Женский,Город,Могилевская,Тихановская,True,Высшее,Выше 2000 бел.руб.,Нет
18-30,Мужской,Город,Могилевская,Тихановская,True,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
старше 60,Мужской,Город,Могилевская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Могилевская,Лукашенко,True,Среднее специальное,1000 - 2000 бел. руб.,Нет
41-50,Мужской,Город,Гродненская,Тихановская,True,Профессионально-техническое,1000 - 2000 бел. руб.,Нет
31-40,Женский,Город,Витебская,Тихановская,False,Высшее,500 - 1000 бел. руб.,Нет
51-60,Мужской,Город,Могилевская,Лукашенко,False,Среднее специальное,До 500 бел. руб.,Да
51-60,Женский,Город,Могилевская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
51-60,Женский,Город,Могилевская,Лукашенко,False,Базовое / Среднее общее (школа),До 500 бел. руб.,Затрудняюсь ответить
18-30,Женский,Город,Гродненская,Против всех,True,Высшее,До 500 бел. руб.,Нет
31-40,Мужской,Город,Могилевская,Тихановская,True,Базовое / Среднее общее (школа),Выше 2000 бел.руб.,Нет
31-40,Женский,Город,Могилевская,Тихановская,True,Среднее специальное,Выше 2000 бел.руб.,Нет
51-60,Женский,Город,Гомельская,Против всех,True,Среднее специальное,1000 - 2000 бел. руб.,Да
31-40,Мужской,Город,Могилевская,Тихановская,True,Высшее,Выше 2000 бел.руб.,Нет
31-40,Женский,Город,Могилевская,Тихановская,True,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
старше 60,Мужской,Город,Могилевская,Против всех,True,Высшее,До 500 бел. руб.,Нет
41-50,Женский,Город,Могилевская,Против всех,True,Высшее,Выше 2000 бел.руб.,Нет
старше 60,Мужской,Город,Гомельская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
31-40,Мужской,Город,Гродненская,Тихановская,True,Среднее специальное,До 500 бел. руб.,Нет
18-30,Женский,Город,Гродненская,Тихановская,True,Высшее,До 500 бел. руб.,Нет
41-50,Женский,Город,Гродненская,Тихановская,True,Высшее,До 500 бел. руб.,Нет
31-40,Мужской,Город,Гомельская,Тихановская,True,Высшее,Выше 2000 бел.руб.,Да
18-30,Женский,Город,Могилевская,Против всех,True,Высшее,1000 - 2000 бел. руб.,Нет
18-30,Женский,Город,Могилевская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
31-40,Мужской,Город,Гродненская,Тихановская,False,Высшее,1000 - 2000 бел. руб.,Нет
41-50,Мужской,Город,Гродненская,,True,Высшее,Не хочу отвечать на этот вопрос,Нет
18-30,Мужской,Город,Могилевская,Лукашенко,True,Высшее,500 - 1000 бел. руб.,Нет
31-40,Мужской,Город,Могилевская,Дмитриев,True,Высшее,500 - 1000 бел. руб.,Нет
31-40,Мужской,Город,Могилевская,,False,Высшее,1000 - 2000 бел. руб.,Да
41-50,Женский,Город,Гомельская,,True,Высшее,1000 - 2000 бел. руб.,Нет
51-60,Мужской,Город,Могилевская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
18-30,Мужской,Город,Могилевская,Против всех,True,Высшее,До 500 бел. руб.,Нет
18-30,Женский,Город,Могилевская,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
51-60,Женский,Село,Гомельская,Лукашенко,True,Среднее специальное,1000 - 2000 бел. руб.,Да
31-40,Мужской,Город,Могилевская,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
старше 60,Женский,Город,Гродненская,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
старше 60,Женский,Город,Гродненская,Тихановская,True,Среднее специальное,До 500 бел. руб.,Нет
31-40,Мужской,Город,Минск,Тихановская,True,Среднее специальное,1000 - 2000 бел. руб.,Нет
41-50,Мужской,Город,Минск,Тихановская,False,Среднее специальное,Выше 2000 бел.руб.,Нет
41-50,Женский,Город,Гомельская,,True,Высшее,Не хочу отвечать на этот вопрос,Нет
41-50,Мужской,Город,Брестская,,False,Среднее специальное,1000 - 2000 бел. руб.,Нет
18-30,Женский,Город,Минск,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
18-30,Женский,Город,Гродненская,Тихановская,True,Среднее специальное,До 500 бел. руб.,Нет
51-60,Мужской,Город,Гомельская,,True,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
31-40,Мужской,Город,Могилевская,Тихановская,False,Высшее,1000 - 2000 бел. руб.,Нет
51-60,Женский,Город,Гродненская,Лукашенко,True,Среднее специальное,До 500 бел. руб.,Да
старше 60,Женский,Город,Могилевская,Лукашенко,False,Высшее,500 - 1000 бел. руб.,Да
41-50,Мужской,Город,Гродненская,,True,Высшее,Не хочу отвечать на этот вопрос,Нет
31-40,Мужской,Город,Брестская,Тихановская,True,Базовое / Среднее общее (школа),1000 - 2000 бел. руб.,Нет
18-30,Мужской,Город,Гродненская,,False,Профессионально-техническое,500 - 1000 бел. руб.,Нет
41-50,Женский,Город,Гродненская,,True,Высшее,500 - 1000 бел. руб.,Нет
41-50,Мужской,Город,Гродненская,,False,Среднее специальное,500 - 1000 бел. руб.,Нет
51-60,Женский,Город,Могилевская,,False,Высшее,Не хочу отвечать на этот вопрос,Да
41-50,Женский,Город,Могилевская,,True,Среднее специальное,Не хочу отвечать на этот вопрос,Да
31-40,Мужской,Город,Гродненская,,False,Среднее специальное,500 - 1000 бел. руб.,Нет
31-40,Мужской,Город,Гомельская,Лукашенко,True,Другое,Выше 2000 бел.руб.,Нет
старше 60,Мужской,Город,Гродненская,,False,Базовое / Среднее общее (школа),До 500 бел. руб.,Да
51-60,Женский,Город,Гродненская,,True,Среднее специальное,До 500 бел. руб.,Нет
41-50,Мужской,Город,Брестская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
18-30,Мужской,Город,Гродненская,,False,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
старше 60,Женский,Город,Могилевская,Тихановская,True,Высшее,До 500 бел. руб.,Нет
18-30,Женский,Город,Гродненская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
18-30,Женский,Город,Гродненская,Тихановская,True,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
51-60,Мужской,Город,Брестская,Тихановская,True,Базовое / Среднее общее (школа),До 500 бел. руб.,Нет
51-60,Женский,Город,Гродненская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Мужской,Город,Брестская,,False,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Гомельская,Лукашенко,True,Среднее специальное,500 - 1000 бел. руб.,Да
старше 60,Мужской,Город,Гродненская,Тихановская,True,Высшее,До 500 бел. руб.,Нет
51-60,Женский,Город,Гродненская,,True,Среднее специальное,До 500 бел. руб.,Нет
41-50,Женский,Город,Гродненская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
18-30,Женский,Город,Гродненская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
51-60,Женский,Город,Гродненская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Гродненская,,True,Среднее специальное,До 500 бел. руб.,Да
старше 60,Мужской,Город,Брестская,,False,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
41-50,Женский,Город,Гродненская,Лукашенко,True,Высшее,1000 - 2000 бел. руб.,Нет
31-40,Женский,Город,Гомельская,,True,Высшее,1000 - 2000 бел. руб.,Нет
старше 60,Женский,Город,Гродненская,,False,Высшее,До 500 бел. руб.,Нет
старше 60,Женский,Город,Гродненская,,True,Среднее специальное,Не хочу отвечать на этот вопрос,Да
31-40,Женский,Город,Гродненская,Лукашенко,True,Среднее специальное,До 500 бел. руб.,Да
старше 60,Женский,Город,Гродненская,,False,Высшее,500 - 1000 бел. руб.,Нет
31-40,Мужской,Город,Могилевская,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
31-40,Женский,Город,Гродненская,Тихановская,True,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
18-30,Женский,Город,Гомельская,,True,Высшее,500 - 1000 бел. руб.,Нет
