Timestamp,Вы из этого населенного пункта? (указываем название нас пункта),"Скажите, пожалуйста, какой у Вас возраст",Укажите пол,Пойдёте ли на президентские выборы?,Будете голосовать досрочно?,За кого планируете голосовать/проголосовали?,Ваш уровень образования?,"Сообщите, пожалуйста, совокупный месячный доход Вашей семьи в бел.руб.",Какими инструментами коммуникации Вы пользуетесь?,Код волонтёра ,Произвольный комментарий волонтера,тип нп,регион
8/5/2020 10:57:21,Витебск,старше 60,Муж,Да,Да,Против всех,Базовое \ Среднее,До 500,"Телевидение, Бумажная пресса",44,,город,2
8/5/2020 10:59:59,Гомель,31-40,Жен,Да,Нет,Тихановская,Высшее,Не хочу отвечать на этот вопрос,Инстаграм,81,,город,3
8/5/2020 11:04:00,Речица,старше 60,Жен,Да,Нет,Тихановская,Высшее,До 500,"Телевидение, Бумажная пресса, Viber, Telegram, Одноклассники",91,"Пенсионерка, вдова, живёт в частном доме, есть кот и собака.",город,3
8/5/2020 11:05:26,Гомель,31-40,Жен,Да,Нет,Черечень,Среднее специальное,Не хочу отвечать на этот вопрос,Радио,81,Гомель 04.08 18.00-18.30,город,3
8/5/2020 11:08:54,Речица,старше 60,Жен,Да,Затрудняюсь ответить,Лукашенко,Высшее,До 500,"Телевидение, Бумажная пресса, Viber, Одноклассники",91,"Пенсионерка, вдова, проживает в квартире. Переболела COVID-19.",город,3
8/5/2020 11:16:50,Витебск,старше 60,Жен,Да,Да,Затрудняюсь ответить,Базовое \ Среднее,500 - 1000,"Телевидение, Интернет",44,,город,2
8/5/2020 11:47:29,Витебск,старше 60,Муж,Да,Да,Лукашенко,Среднее специальное,1000 - 2000,"Радио, Телевидение, Бумажная пресса, Viber, Telegram, Интернет",44,,город,2
8/5/2020 12:19:03,Поселок  Победа,51-60,Муж,Да,Нет,Тихановская,Профессионально-техническое,500 - 1000,"Viber, Telegram, Youtube",89,,село,3
8/5/2020 12:19:24,Речица,31-40,Муж,Да,Нет,Тихановская,Высшее,выше 2000,"Viber, Telegram, Вконтакте, Youtube",91,Работает в Белоруснефть.,город,3
8/5/2020 12:19:36,Брест,51-60,Жен,Да,Нет,Лукашенко,Профессионально-техническое,1000 - 2000,"Телевидение, Одноклассники",24,,город,1
8/5/2020 12:21:31,Речица,31-40,Жен,Да,Нет,Тихановская,Высшее,выше 2000,"Viber, Telegram, Одноклассники, Вконтакте",91,"Находится в отпуске по уходу за ребенком до 3-х лет. Муж (работает в Белоруснефть), двое детей.",город,3
8/5/2020 12:22:08,Поселок Победа,41-50,Жен,Да,Нет,Тихановская,Высшее,500 - 1000,"Viber, Telegram, Одноклассники, Вконтакте, Youtube",89,Уверена в переменах,село,3
8/5/2020 12:27:06,Жодино,18-30,Муж,Да,Нет,Тихановская,Высшее,500 - 1000,"Viber, Telegram, Вконтакте, Youtube",83,,город,5
8/5/2020 12:28:23,Речица,51-60,Муж,Да,Да,Против всех,Профессионально-техническое,1000 - 2000,"Телевидение, Бумажная пресса, Viber, Одноклассники",91,"Досрочно пойдет голосовать, потому что на работе отправят.",город,3
8/5/2020 12:29:03,Жодино,41-50,Жен,Да,Уже проголосовал (-а) досрочно,Затрудняюсь ответить,Высшее,1000 - 2000,"Телевидение, Viber, Одноклассники",83,,город,5
8/5/2020 12:31:39,Жодино,51-60,Жен,Да,Затрудняюсь ответить,Затрудняюсь ответить,Высшее,500 - 1000,"Телевидение, Бумажная пресса, Viber, Одноклассники",83,,город,5
8/5/2020 12:36:01,Речица,51-60,Жен,Да,Да,Против всех,Среднее специальное,1000 - 2000,"Телевидение, Бумажная пресса, Viber, Одноклассники",91,Работающая пенсионерка. Работает в сфере деревообработки.,город,3
8/5/2020 12:42:06,Жодино,51-60,Жен,Да,Затрудняюсь ответить,Тихановская,Высшее,1000 - 2000,"Телевидение, Бумажная пресса, Viber, Одноклассники",83,,город,5
8/5/2020 12:43:14,Жодино,31-40,Жен,Да,Нет,Тихановская,Высшее,1000 - 2000,"Viber, Telegram, Одноклассники, Вконтакте, Youtube, Инстаграмм",83,,город,5
8/5/2020 12:50:57,Речица,31-40,Муж,Да,Нет,Тихановская,Высшее,1000 - 2000,"Viber, Telegram",91,"Не женат, индивидуальный предприниматель. ",город,3
8/5/2020 13:03:51,Гродно,18-30,Жен,Да,Нет,Тихановская,Высшее,1000 - 2000,"Viber, Telegram, Youtube",79,,город,4
8/5/2020 13:09:06,Речица,18-30,Жен,Да,Нет,Затрудняюсь ответить,Среднее специальное,Не хочу отвечать на этот вопрос,"Viber, Telegram, Одноклассники, Вконтакте, Youtube, Instagram",91,,город,3
8/5/2020 13:10:50,Гродно ,18-30,Муж,Да,Нет,Тихановская,Высшее,выше 2000,"Telegram, Вконтакте, Youtube",79,,город,4
8/5/2020 13:12:58,Гродно,18-30,Муж,Да,Нет,Тихановская,Среднее специальное,Не хочу отвечать на этот вопрос,"Viber, Telegram, Вконтакте, Youtube, Snapchat , WhatsApp и др",79,,город,4
8/5/2020 13:15:47,Гродно,18-30,Муж,Да,Нет,Тихановская,Высшее,выше 2000,"Viber, Telegram, Вконтакте, Youtube",79,,город,4
8/5/2020 13:17:16,Гродно,51-60,Муж,Да,Нет,Тихановская,Высшее,Не хочу отвечать на этот вопрос,"Viber, Telegram, Youtube",79,,город,4
8/5/2020 13:19:14,Гродно,51-60,Муж,Да,Нет,Тихановская,Высшее,Не хочу отвечать на этот вопрос,"Viber, Telegram, Youtube",79,,город,4
8/5/2020 13:25:09,Речица,старше 60,Муж,Да,Нет,Тихановская,Профессионально-техническое,500 - 1000,"Телевидение, Бумажная пресса, Viber, Одноклассники",91,,город,3
8/5/2020 13:27:22,Речица,18-30,Муж,Да,Да,Тихановская,Среднее специальное,1000 - 2000,"Viber, Telegram, Одноклассники, Вконтакте, Youtube",91,В воскресенье рабочая смена.,город,3
8/5/2020 13:28:12,Гродно ,18-30,Муж,Да,Нет,Тихановская,Базовое \ Среднее,1000 - 2000,"Viber, Вконтакте",79,,город,4
