region,location_type,gernder,age,education,count
Гродненская,Село,Женский,51-60,Другое,498
Гродненская,Село,Женский,старше 60,Высшее,3037
Гродненская,Село,Женский,старше 60,Среднее специальное,5887
Гродненская,Село,Женский,старше 60,Профессионально-техническое,765
Гродненская,Село,Женский,старше 60,Базовое / Среднее общее (школа),16435
Гродненская,Село,Женский,старше 60,Другое,43673
Минск,Город,Мужской,18-30,Высшее,52545
Минск,Город,Мужской,18-30,Среднее специальное,56637
Минск,Город,Мужской,18-30,Профессионально-техническое,20536
Минск,Город,Мужской,18-30,Базовое / Среднее общее (школа),87146
Минск,Город,Мужской,18-30,Другое,563
Минск,Город,Мужской,31-40,Высшее,47761
Минск,Город,Мужской,31-40,Среднее специальное,34190
Минск,Город,Мужской,31-40,Профессионально-техническое,11841
Минск,Город,Мужской,31-40,Базовое / Среднее общее (школа),20061
Минск,Город,Мужской,31-40,Другое,376
Минск,Город,Мужской,41-50,Высшее,39593
Минск,Город,Мужской,41-50,Среднее специальное,32579
Минск,Город,Мужской,41-50,Профессионально-техническое,11958
Минск,Город,Мужской,41-50,Базовое / Среднее общее (школа),24495
Минск,Город,Мужской,41-50,Другое,291
Минск,Город,Мужской,51-60,Высшее,37616
Минск,Город,Мужской,51-60,Среднее специальное,24059
Минск,Город,Мужской,51-60,Профессионально-техническое,10114
Минск,Город,Мужской,51-60,Базовое / Среднее общее (школа),27657
Минск,Город,Мужской,51-60,Другое,339
Минск,Город,Мужской,старше 60,Высшее,36772
Минск,Город,Мужской,старше 60,Среднее специальное,14806
Минск,Город,Мужской,старше 60,Профессионально-техническое,6942
Минск,Город,Мужской,старше 60,Базовое / Среднее общее (школа),23770
Минск,Город,Мужской,старше 60,Другое,4755
Минск,Город,Женский,18-30,Высшее,74646
Минск,Город,Женский,18-30,Среднее специальное,47752
Минск,Город,Женский,18-30,Профессионально-техническое,8803
Минск,Город,Женский,18-30,Базовое / Среднее общее (школа),94668
Минск,Город,Женский,18-30,Другое,406
Минск,Город,Женский,31-40,Высшее,61126
Минск,Город,Женский,31-40,Среднее специальное,37657
Минск,Город,Женский,31-40,Профессионально-техническое,8316
Минск,Город,Женский,31-40,Базовое / Среднее общее (школа),14547
Минск,Город,Женский,31-40,Другое,263
Минск,Город,Женский,41-50,Высшее,51560
Минск,Город,Женский,41-50,Среднее специальное,48610
Минск,Город,Женский,41-50,Профессионально-техническое,11449
Минск,Город,Женский,41-50,Базовое / Среднее общее (школа),20780
Минск,Город,Женский,41-50,Другое,218
Минск,Город,Женский,51-60,Высшее,47637
Минск,Город,Женский,51-60,Среднее специальное,45106
Минск,Город,Женский,51-60,Профессионально-техническое,12189
Минск,Город,Женский,51-60,Базовое / Среднее общее (школа),31865
Минск,Город,Женский,51-60,Другое,309
Минск,Город,Женский,старше 60,Высшее,43781
Минск,Город,Женский,старше 60,Среднее специальное,35215
Минск,Город,Женский,старше 60,Профессионально-техническое,9163
Минск,Город,Женский,старше 60,Базовое / Среднее общее (школа),53879
Минск,Город,Женский,старше 60,Другое,16952
Минск,Село,Мужской,18-30,Высшее,0
Минск,Село,Мужской,18-30,Среднее специальное,0
Минск,Село,Мужской,18-30,Профессионально-техническое,0
Минск,Село,Мужской,18-30,Базовое / Среднее общее (школа),0
Минск,Село,Мужской,18-30,Другое,0
Минск,Село,Мужской,31-40,Высшее,0
Минск,Село,Мужской,31-40,Среднее специальное,0
Минск,Село,Мужской,31-40,Профессионально-техническое,0
Минск,Село,Мужской,31-40,Базовое / Среднее общее (школа),0
Минск,Село,Мужской,31-40,Другое,0
Минск,Село,Мужской,41-50,Высшее,0
Минск,Село,Мужской,41-50,Среднее специальное,0
Минск,Село,Мужской,41-50,Профессионально-техническое,0
Минск,Село,Мужской,41-50,Базовое / Среднее общее (школа),0
Минск,Село,Мужской,41-50,Другое,0
Минск,Село,Мужской,51-60,Высшее,0
Минск,Село,Мужской,51-60,Среднее специальное,0
Минск,Село,Мужской,51-60,Профессионально-техническое,0
Минск,Село,Мужской,51-60,Базовое / Среднее общее (школа),0
Минск,Село,Мужской,51-60,Другое,0
Минск,Село,Мужской,старше 60,Высшее,0
Минск,Село,Мужской,старше 60,Среднее специальное,0
Минск,Село,Мужской,старше 60,Профессионально-техническое,0
Минск,Село,Мужской,старше 60,Базовое / Среднее общее (школа),0
Минск,Село,Мужской,старше 60,Другое,0
Минск,Село,Женский,18-30,Высшее,0
Минск,Село,Женский,18-30,Среднее специальное,0
Минск,Село,Женский,18-30,Профессионально-техническое,0
Минск,Село,Женский,18-30,Базовое / Среднее общее (школа),0
Минск,Село,Женский,18-30,Другое,0
Минск,Село,Женский,31-40,Высшее,0
Минск,Село,Женский,31-40,Среднее специальное,0
Минск,Село,Женский,31-40,Профессионально-техническое,0
Минск,Село,Женский,31-40,Базовое / Среднее общее (школа),0
Минск,Село,Женский,31-40,Другое,0
Минск,Село,Женский,41-50,Высшее,0
Минск,Село,Женский,41-50,Среднее специальное,0
Минск,Село,Женский,41-50,Профессионально-техническое,0
Минск,Село,Женский,41-50,Базовое / Среднее общее (школа),0
Минск,Село,Женский,41-50,Другое,0
Минск,Село,Женский,51-60,Высшее,0
Минск,Село,Женский,51-60,Среднее специальное,0
Минск,Село,Женский,51-60,Профессионально-техническое,0
Минск,Село,Женский,51-60,Базовое / Среднее общее (школа),0
Минск,Село,Женский,51-60,Другое,0
Минск,Село,Женский,старше 60,Высшее,0
Минск,Село,Женский,старше 60,Среднее специальное,0
Минск,Село,Женский,старше 60,Профессионально-техническое,0
Минск,Село,Женский,старше 60,Базовое / Среднее общее (школа),0
Минск,Село,Женский,старше 60,Другое,0
Могилевская,Город,Мужской,18-30,Высшее,12561
Могилевская,Город,Мужской,18-30,Среднее специальное,28283
Могилевская,Город,Мужской,18-30,Профессионально-техническое,16217
Могилевская,Город,Мужской,18-30,Базовое / Среднее общее (школа),33390
Могилевская,Город,Мужской,18-30,Другое,576
Могилевская,Город,Мужской,31-40,Высшее,12656
Могилевская,Город,Мужской,31-40,Среднее специальное,21302
Могилевская,Город,Мужской,31-40,Профессионально-техническое,11558
Могилевская,Город,Мужской,31-40,Базовое / Среднее общее (школа),13125
Могилевская,Город,Мужской,31-40,Другое,318
Могилевская,Город,Мужской,41-50,Высшее,10564
Могилевская,Город,Мужской,41-50,Среднее специальное,20731
Могилевская,Город,Мужской,41-50,Профессионально-техническое,11337
Могилевская,Город,Мужской,41-50,Базовое / Среднее общее (школа),14469
Могилевская,Город,Мужской,41-50,Другое,224
Могилевская,Город,Мужской,51-60,Высшее,10036
Могилевская,Город,Мужской,51-60,Среднее специальное,16295
Могилевская,Город,Мужской,51-60,Профессионально-техническое,9673
Могилевская,Город,Мужской,51-60,Базовое / Среднее общее (школа),16059
Могилевская,Город,Мужской,51-60,Другое,378
Могилевская,Город,Мужской,старше 60,Высшее,8231
Могилевская,Город,Мужской,старше 60,Среднее специальное,9172
Могилевская,Город,Мужской,старше 60,Профессионально-техническое,4779
Могилевская,Город,Мужской,старше 60,Базовое / Среднее общее (школа),14220
Могилевская,Город,Мужской,старше 60,Другое,5346
Могилевская,Город,Женский,18-30,Высшее,19566
Могилевская,Город,Женский,18-30,Среднее специальное,26533
Могилевская,Город,Женский,18-30,Профессионально-техническое,10113
Могилевская,Город,Женский,18-30,Базовое / Среднее общее (школа),28295
Могилевская,Город,Женский,18-30,Другое,251
Могилевская,Город,Женский,31-40,Высшее,18330
Могилевская,Город,Женский,31-40,Среднее специальное,26597
Могилевская,Город,Женский,31-40,Профессионально-техническое,8730
Могилевская,Город,Женский,31-40,Базовое / Среднее общее (школа),8463
Могилевская,Город,Женский,31-40,Другое,210
Могилевская,Город,Женский,41-50,Высшее,15404
Могилевская,Город,Женский,41-50,Среднее специальное,30563
Могилевская,Город,Женский,41-50,Профессионально-техническое,9792
Могилевская,Город,Женский,41-50,Базовое / Среднее общее (школа),10934
Могилевская,Город,Женский,41-50,Другое,147
Могилевская,Город,Женский,51-60,Высшее,12551
Могилевская,Город,Женский,51-60,Среднее специальное,27499
Могилевская,Город,Женский,51-60,Профессионально-техническое,9214
Могилевская,Город,Женский,51-60,Базовое / Среднее общее (школа),17281
Могилевская,Город,Женский,51-60,Другое,396
Могилевская,Город,Женский,старше 60,Высшее,10086
Могилевская,Город,Женский,старше 60,Среднее специальное,18749
Могилевская,Город,Женский,старше 60,Профессионально-техническое,5080
Могилевская,Город,Женский,старше 60,Базовое / Среднее общее (школа),28540
Могилевская,Город,Женский,старше 60,Другое,16117
Могилевская,Село,Мужской,18-30,Высшее,1194
Могилевская,Село,Мужской,18-30,Среднее специальное,4291
Могилевская,Село,Мужской,18-30,Профессионально-техническое,4769
Могилевская,Село,Мужской,18-30,Базовое / Среднее общее (школа),9817
Могилевская,Село,Мужской,18-30,Другое,397
Могилевская,Село,Мужской,31-40,Высшее,1036
Могилевская,Село,Мужской,31-40,Среднее специальное,3049
Могилевская,Село,Мужской,31-40,Профессионально-техническое,3520
Могилевская,Село,Мужской,31-40,Базовое / Среднее общее (школа),7953
Могилевская,Село,Мужской,31-40,Другое,346
Могилевская,Село,Мужской,41-50,Высшее,1604
Могилевская,Село,Мужской,41-50,Среднее специальное,4643
Могилевская,Село,Мужской,41-50,Профессионально-техническое,4904
Могилевская,Село,Мужской,41-50,Базовое / Среднее общее (школа),10733
Могилевская,Село,Мужской,41-50,Другое,334
Могилевская,Село,Мужской,51-60,Высшее,1753
Могилевская,Село,Мужской,51-60,Среднее специальное,3711
Могилевская,Село,Мужской,51-60,Профессионально-техническое,3730
Могилевская,Село,Мужской,51-60,Базовое / Среднее общее (школа),9768
Могилевская,Село,Мужской,51-60,Другое,514
Могилевская,Село,Мужской,старше 60,Высшее,1539
Могилевская,Село,Мужской,старше 60,Среднее специальное,2242
Могилевская,Село,Мужской,старше 60,Профессионально-техническое,1643
Могилевская,Село,Мужской,старше 60,Базовое / Среднее общее (школа),8754
Могилевская,Село,Мужской,старше 60,Другое,8685
Могилевская,Село,Женский,18-30,Высшее,1720
Могилевская,Село,Женский,18-30,Среднее специальное,4658
Могилевская,Село,Женский,18-30,Профессионально-техническое,3123
Могилевская,Село,Женский,18-30,Базовое / Среднее общее (школа),7709
Могилевская,Село,Женский,18-30,Другое,227
Могилевская,Село,Женский,31-40,Высшее,1650
Могилевская,Село,Женский,31-40,Среднее специальное,5022
Могилевская,Село,Женский,31-40,Профессионально-техническое,2737
Могилевская,Село,Женский,31-40,Базовое / Среднее общее (школа),5772
Могилевская,Село,Женский,31-40,Другое,215
Могилевская,Село,Женский,41-50,Высшее,2149
Могилевская,Село,Женский,41-50,Среднее специальное,7280
Могилевская,Село,Женский,41-50,Профессионально-техническое,3236
Могилевская,Село,Женский,41-50,Базовое / Среднее общее (школа),6638
Могилевская,Село,Женский,41-50,Другое,238
Могилевская,Село,Женский,51-60,Высшее,1884
Могилевская,Село,Женский,51-60,Среднее специальное,5868
Могилевская,Село,Женский,51-60,Профессионально-техническое,2317
Могилевская,Село,Женский,51-60,Базовое / Среднее общее (школа),7801
Могилевская,Село,Женский,51-60,Другое,477
Могилевская,Село,Женский,старше 60,Высшее,1820
Могилевская,Село,Женский,старше 60,Среднее специальное,4508
Могилевская,Село,Женский,старше 60,Профессионально-техническое,864
Могилевская,Село,Женский,старше 60,Базовое / Среднее общее (школа),15190
Могилевская,Село,Женский,старше 60,Другое,24779
